"strategy","genes","s","N","gen","n_rep","p_lost","ibd","ibd_sd","rpg","drag","p_ibd","p_drag","p_both","drag_q95","p_both_lo","p_both_hi","gain"
"bg",4,0.6,120,2,100,0,0.945666167664671,0.00936276918165961,0.874184131736527,235.4,1,0.03,0.03,340.375,0.0062299715383064,0.08517605297428,0.014668443374656
"bg",4,0.6,120,3,100,0.01,0.965062299643138,0.00719277628951816,0.927100344765015,159.444444444444,0.99,0.24,0.24,249,0.160224613171447,0.335735489270998,0.00804638788330496
"bg",4,0.6,160,1,90,0,0.906520292747838,0.0126187090395137,0.764213240186294,341.555555555556,0.677777777777778,0,0,497.5,0,0.0401589196157747,0.0311671305381495
"bg",4,0.6,160,2,90,0,0.949617431803061,0.00929995112558716,0.878110445775116,220.305555555556,1,0.0333333333333333,0.0333333333333333,325,0.00692760273101017,0.0943360934131362,0.015313894448126
"bg",4,0.6,160,3,90,0,0.968180306054558,0.00631870959831708,0.930871590153027,154.111111111111,1,0.244444444444444,0.244444444444444,235,0.159969293043021,0.346376726582402,0.00822821840020897
"bg",4,0.6,200,1,90,0,0.910071523619428,0.0114000634282139,0.778434797072522,352.388888888889,0.822222222222222,0,0,503.25,0,0.0401589196157747,0.0349376156727167
"bg",4,0.6,200,2,90,0,0.950765136393879,0.00905239004678849,0.885379241516966,216.166666666667,1,0.111111111111111,0.111111111111111,363.875,0.0545856049501299,0.194858636788595,0.0157317900741638
"bg",4,0.6,200,3,90,0,0.970217897538257,0.00571861488090972,0.938714238190286,136.416666666667,1,0.466666666666667,0.466666666666667,221.375,0.360715678612792,0.574872655255084,0.00968124403971653
"bg",4,0.6,250,1,90,0,0.908142049234864,0.0114823010463159,0.773112109115103,360.777777777778,0.744444444444444,0,0,470.5,0,0.0401589196157747,0.033899970259139
"bg",4,0.6,250,2,90,0,0.952029274783766,0.00904603650982228,0.885620425815037,219.083333333333,1,0.0222222222222222,0.0222222222222222,317.5,0.00270263585014776,0.0779776854776639,0.0175444057174495
"bg",4,0.6,250,3,90,0,0.970924817032601,0.00612204432826865,0.938456420492349,140.361111111111,1,0.366666666666667,0.366666666666667,218,0.267521571841554,0.47485120744971,0.00977174467149857
"bg",4,0.6,320,1,90,0,0.913165335994677,0.0114995392897419,0.784422821024617,336.388888888889,0.855555555555556,0,0,466,0,0.0401589196157747,0.0379965836836604
"bg",4,0.6,320,2,90,0,0.956204258150366,0.00727714100952454,0.897488356620093,205.277777777778,1,0.0333333333333333,0.0333333333333333,320.75,0.00692760273101017,0.0943360934131362,0.0179078743022558
"bg",4,0.6,320,3,90,0,0.973270126413839,0.00466461840056645,0.944236526946108,130.166666666667,1,0.433333333333333,0.433333333333333,191.875,0.329184284821458,0.541994250777973,0.00917905067597533
"bg",4,0.6,400,1,90,0,0.916059547571524,0.0112494242350149,0.78351630073187,345.944444444444,0.911111111111111,0,0,478.875,0,0.0401589196157747,0.0399954874096623
"bg",4,0.6,400,2,90,0,0.959397870924817,0.0072364279018782,0.899001996007984,195.555555555556,1,0.0666666666666667,0.0666666666666667,298.25,0.024856666279035,0.139475699484797,0.0202416135721926
"bg",4,0.6,400,3,90,0,0.975141383898869,0.0049376654836556,0.946398868928809,118.888888888889,1,0.577777777777778,0.577777777777778,190.25,0.469066225976584,0.681224417955958,0.00910692874196516
"rec12",1,0.6,20,1,300,0,0.914154191616766,0.018581196728782,0.782133233532934,47.55,0.776666666666667,0.22,0.173333333333333,80,0.132246481903705,0.221008852447475,0.0204162398018729
"rec12",1,0.6,20,2,300,0,0.962861776447106,0.0128515817589045,0.902899201596806,26.5333333333333,1,0.68,0.68,52.5,0.623959858763491,0.732441652771838,0.0101438913818218
"rec12",1,0.6,20,3,300,0,0.989041916167665,0.00549270141256262,0.968438123752495,21.2916666666667,1,0.803333333333333,0.803333333333333,47.5,0.753777190771163,0.846784997195878,0.0105742165006761
"rec12",1,0.6,40,1,300,0,0.92440618762475,0.0151005410077596,0.799116766467066,47.1083333333333,0.953333333333333,0.166666666666667,0.15,75,0.111562522430126,0.195516440684027,0.031003841436707
"rec12",1,0.6,40,2,300,0,0.97309381237525,0.00958973153498605,0.921115269461078,25.2166666666667,1,0.72,0.72,47.5,0.66551717283471,0.770078087682577,0.0149727339968088
"rec12",1,0.6,40,3,300,0,0.99313622754491,0.0032341912725252,0.975998003992016,18.8583333333333,1,0.86,0.86,42.5,0.815506440078933,0.897202000168827,0.00924386091158558
"rec12",1,0.6,60,1,200,0,0.930711077844311,0.0140536841730408,0.812024700598802,46.3875,0.99,0.17,0.17,70,0.120695623236217,0.229371600393886,0.0374157599195689
"rec12",1,0.6,60,2,200,0,0.977979041916168,0.0075465978093267,0.93124625748503,23.45,1,0.755,0.755,45,0.689360134138401,0.812915873923999,0.0164826166613921
"rec12",1,0.6,60,3,200,0,0.994580838323353,0.00243526189702983,0.979876497005988,16.1,1,0.905,0.905,40,0.855623360023148,0.94183039027488,0.0083060336779
"rec12",1,0.6,80,1,150,0,0.932719560878243,0.0134164306521665,0.816142714570858,44.0833333333333,1,0.2,0.2,66.375,0.139193999223658,0.273036217790927,0.0393225709895134
"rec12",1,0.6,80,2,150,0,0.980853293413174,0.00725869987991191,0.935723552894212,19.6333333333333,1,0.873333333333333,0.873333333333333,41.375,0.809279386243611,0.921985474569597,0.0184390821447968
