"cycle","index","GD","GD_pool","gd_ref","alpha","theta","F_hom","F_drift","GD_BS","GD_T","theta_A","theta_B","Ns","max_line","var_g","var_genic","regime","seed","gap"
10,9.11313375350797,0.240641875,0.2459428,0.245189509027778,0.0185474249930594,0.759358125,0.269946691457833,0.323587757075719,0.138615347222222,0.240641875,0.892503611111111,0.903443333333333,0.658450846232797,13,0.199138640052487,0.292933827070381,"constrained",3,-0.0937951870178949
11,9.80238242440878,0.235093055555556,0.2390572,0.238237394791667,0.0131983446127789,0.764906944444444,0.28908447458148,0.339773014984048,0.143725277777778,0.235093055555555,0.909536111111111,0.907728333333333,0.653674284998357,16,0.228036216883486,0.257436300269348,"constrained",3,-0.0294000833858625
12,10.3793211609682,0.227303472222222,0.2322428,0.231677901388889,0.0188815123947615,0.772696527777778,0.312438197246783,0.359874203094341,0.148652638888889,0.227303472222222,0.930213888888889,0.912484444444444,0.647084569459586,12,0.137319030524036,0.218574990593457,"constrained",3,-0.0812559600694205
0,1.43905662375414,0.326025,0.3337572,0.331444012847222,0.0163497080567876,0.673975,0.0214542245166429,0.0313903090258271,0.0424475000000001,0.326025,0.718624166666667,0.714220833333334,0.741867279943618,12,1,1.0892823928407,"constrained",4,-0.0892823928407003
1,2.42913217984236,0.314102847222222,0.3199688,0.317896725694444,0.0119343112576402,0.685897152777778,0.068068869658311,0.0635250784670267,0.053518263888889,0.314102847222222,0.738096666666667,0.740734166666667,0.728972263516589,10,0.418873038900348,0.97305791557176,"constrained",4,-0.554184876671412
2,3.20549332465076,0.301871180555556,0.307776,0.305802636111111,0.0128561859555951,0.698128819444444,0.101311992261996,0.105408856033147,0.0678185416666668,0.301871180555556,0.769320833333333,0.762573888888889,0.71620019983975,13,0.523320356537448,0.854888478806566,"constrained",4,-0.331568122269117
3,4.33475767319179,0.290016319444444,0.2951256,0.293418147222222,0.0115937879438705,0.709983680555556,0.13369733239096,0.145969341295429,0.0806092361111109,0.290016319444444,0.804833055555555,0.776352777777778,0.704241539198133,14,0.563067777708066,0.722038356373931,"constrained",4,-0.158970578665865
4,5.09878862123308,0.279940069444444,0.2864896,0.2849018375,0.0174157109659059,0.720059930555556,0.162245929121302,0.179345967368293,0.0907113194444444,0.279940069444444,0.827523611111111,0.794018888888889,0.694386645864643,11,0.568376827491268,0.618850882927617,"constrained",4,-0.0504740554363495
5,5.70583264885695,0.273378819444444,0.279932,0.278356822569444,0.0178835319323208,0.726621180555556,0.177536572848531,0.205673392448375,0.0984086805555555,0.273378819444444,0.843810277777778,0.806249444444444,0.688116467535,15,0.401307911856732,0.561833016744312,"constrained",4,-0.16052510488758
6,6.53315021932407,0.263564027777778,0.2690756,0.267845943402778,0.0159864867490676,0.736435972222222,0.204500987896992,0.236387968213868,0.108655138888889,0.263564027777778,0.861350833333333,0.828831388888889,0.678945650212105,13,0.38880552417486,0.495645792540634,"constrained",4,-0.106840268365773
7,7.38830753407635,0.254418125,0.2593224,0.258179511458333,0.0145688805323359,0.745581875,0.230189874148397,0.273813941442459,0.121055486111111,0.254418125,0.8774325,0.855842222222222,0.670617160590177,14,0.258315357001161,0.41411966012216,"constrained",4,-0.155804303120999
8,8.00055837230644,0.245053888888889,0.2511048,0.250051873263889,0.0199877901723433,0.754946111111111,0.254016235791805,0.308393919343134,0.13331,0.245053888888889,0.893298333333333,0.883213888888889,0.662298927885213,13,0.216161668226798,0.337147903344487,"constrained",4,-0.120986235117689
9,8.75601827418758,0.238023194444444,0.2423,0.241495572569444,0.0143786409334752,0.761976805555556,0.277161525864924,0.32874038912586,0.136021805555556,0.238023194444444,0.90574,0.890257222222222,0.656187952644374,19,0.15330768793337,0.275811481635463,"constrained",4,-0.122503793702094
10,9.42140944023541,0.232099513888889,0.2354152,0.234615377777778,0.0107233545930301,0.767900486111111,0.294119913502823,0.353674998324527,0.143297152777778,0.232099513888889,0.924726944444444,0.897668333333333,0.651126036567781,17,0.216097156522763,0.229856342289498,"constrained",4,-0.0137591857667355
11,9.81454283654302,0.229295069444444,0.2325904,0.232022694097222,0.0117558528634051,0.770704930555556,0.301566920843925,0.363795284311606,0.146787430555556,0.229295069444444,0.931552222222222,0.9034325,0.648756716321485,11,0.175931542884554,0.203636952732892,"constrained",4,-0.0277054098483378
12,10.4399300904452,0.222979097222222,0.2272388,0.226698653125,0.0164074900821174,0.777020902777778,0.323116704895747,0.380378959438821,0.151443958333333,0.222979097222222,0.936529444444444,0.920400277777778,0.643483332575155,14,0.112391742701735,0.170337570152417,"constrained",4,-0.0579458274506821
0,1.40419975202733,0.324355902777778,0.3317328,0.32946658125,0.0155119783403592,0.675644097222222,0.0179463992528919,0.0277975909465937,0.0421188194444444,0.324355902777778,0.708958611111111,0.726567222222222,0.740034586338653,13,1,0.811339318653831,"constrained",5,0.18866068134617
1,2.71822706050576,0.311379791666667,0.3194372,0.317142218402778,0.0181698506276851,0.688620208333333,0.0541286016363086,0.0739632520482765,0.0582321527777778,0.311379791666667,0.731261944444444,0.762442777777778,0.72608964121188,13,0.758807322594955,0.757352585042382,"constrained",5,0.00145473755257286
2,3.67603969060097,0.301757013888889,0.3077012,0.305722169444444,0.0129698005308579,0.698242986111111,0.0768419105006697,0.114428428365437,0.0720757638888888,0.301757013888889,0.741155277777778,0.799482222222222,0.716083097067351,18,0.489428645999785,0.682191605772267,"constrained",5,-0.192762959772482
3,4.55436539541955,0.290177291666667,0.294468,0.293032619791667,0.00974406237445496,0.709822708333333,0.114404726075912,0.153329547521844,0.0849357638888887,0.290177291666667,0.763509166666667,0.826007777777778,0.704401245733603,11,0.661994509381334,0.589882591967333,"constrained",5,0.0721119174140008
4,5.21344686608202,0.277517361111111,0.2845868,0.282872685763889,0.0189319256410914,0.722482638888889,0.151164486897396,0.19670887329633,0.0966151388888891,0.277517361111111,0.782400833333333,0.855794722222222,0.692058152108615,15,0.383052401596002,0.521095106667184,"constrained",5,-0.138042705071182
5,5.91955865287034,0.267992083333333,0.2740196,0.272796425,0.0176114539135425,0.732007916666667,0.179358193442673,0.224688458602882,0.103340138888889,0.267992083333333,0.798907777777778,0.871788333333333,0.683052721993558,14,0.278766730420075,0.466115196515817,"constrained",5,-0.187348466095741
6,6.8238340526269,0.257312152777778,0.2629732,0.261854601041667,0.017347215767143,0.742687847222222,0.203763607803196,0.262682562432955,0.113364513888889,0.257312152777778,0.822835,0.889269722222222,0.673230350907295,13,0.214754236969625,0.392656544556977,"constrained",5,-0.177902307587352
7,7.4971002262146,0.249938194444444,0.25586,0.254867086458333,0.0193390683841584,0.750061805555556,0.225138743511151,0.291073183623021,0.123266527777778,0.249938194444445,0.850950833333333,0.895705833333333,0.666611732922009,15,0.226725708495839,0.324531409954687,"constrained",5,-0.097805701458848
8,8.06034787786637,0.241218263888889,0.2456636,0.244779628819444,0.0145492700831836,0.758781736111111,0.25222275354542,0.320203652723641,0.131710347222222,0.241218263888889,0.870827222222222,0.910156944444444,0.658951021360355,12,0.144187956072597,0.265904156091157,"constrained",5,-0.121716200018559
9,8.56899467686467,0.235745,0.239284,0.23850013125,0.0115519066407223,0.764255,0.269647883193855,0.337763460784623,0.136455555555556,0.235745,0.880067777777778,0.921353333333333,0.654231899038933,13,0.136320044594842,0.203530837083239,"constrained",5,-0.0672107924883962
10,9.1159790560634,0.227158958333333,0.2320964,0.231467422222222,0.0186136945213505,0.772841041666667,0.298447156162826,0.365763840227266,0.143741319444444,0.227158958333333,0.895635277777778,0.937529444444444,0.646963570829167,14,0.120867231668596,0.145057244009882,"constrained",5,-0.0241900123412864
11,9.57705333194693,0.220013055555556,0.2248356,0.224202345486111,0.0186853082266935,0.779986944444444,0.321001302385383,0.387871784158184,0.151979444444444,0.220013055555556,0.916719722222222,0.947213055555556,0.641036370623013,15,0.0778668887590044,0.108461038461587,"constrained",5,-0.0305941497025822
12,9.92063574820577,0.214002013888889,0.2184768,0.217887392708333,0.0178320497168255,0.785997986111111,0.337994760816108,0.410273461664325,0.158147430555555,0.214002013888889,0.9336975,0.954593333333333,0.636133945423772,15,0.0257756773166088,0.0652994662922067,"constrained",5,-0.0395237889755979
0,1.50367321505012,0.32316,0.3312492,0.328924545833333,0.0175254352597153,0.67684,0.0272686812779833,0.030618361393731,0.0426172222222222,0.32316,0.721091388888889,0.717823055555556,0.738727025589504,10,1,1.04125323535882,"constrained",6,-0.0412532353588235
1,2.50825670432762,0.311500138888889,0.31961,0.317442401736111,0.0187191843771455,0.688499861111111,0.0637963100894189,0.0722034495327366,0.0585843055555556,0.311500138888889,0.746733611111111,0.747434722222222,0.726216558988251,14,0.948558906438723,0.934805929471397,"constrained",6,0.0137529769673255
2,3.16997683029107,0.304189861111111,0.3087516,0.307040257638889,0.00928346188117815,0.695810138888889,0.0856056751174271,0.0960633025361598,0.06627625,0.304189861111111,0.765430833333334,0.758741944444445,0.718586827145735,10,0.856684832950361,0.835059138477195,"constrained",6,0.0216256944731654
3,3.79109004043978,0.295573472222222,0.3017208,0.299937685416667,0.014550399655121,0.704426527777778,0.110698738075676,0.126475224130123,0.07641375,0.295573472222222,0.792104444444444,0.769576111111111,0.70979723261889,14,0.773561371580626,0.769877185378443,"constrained",6,0.00368418620218336
4,4.93729689140935,0.286628888888889,0.292708,0.291164682986111,0.0155781053206873,0.713371111111111,0.131868800405675,0.170357582637493,0.0906575000000001,0.286628888888889,0.8142375,0.793819722222222,0.700897460259114,11,0.595666851818498,0.688916044737037,"constrained",6,-0.0932491929185392
5,5.83509163581623,0.273450069444444,0.2794368,0.278015558333333,0.0164217028581363,0.726549930555556,0.17341681712928,0.213564113402304,0.104651875,0.273450069444444,0.8403075,0.822096111111111,0.688183948510842,13,0.31223682656239,0.588961807250208,"constrained",6,-0.276724980687818
