"cycle","index","GD","GD_pool","gd_ref","alpha","theta","F_hom","F_drift","GD_BS","GD_T","theta_A","theta_B","Ns","max_line","max_use","seed"
3,4.55436539541955,0.290177291666667,0.294468,0.293032619791667,0.00974406237445496,0.709822708333333,0.114404726075912,0.153329547521844,0.0849357638888887,0.290177291666667,0.763509166666667,0.826007777777778,0.704401245733603,11,"none",5
4,5.21344686608202,0.277517361111111,0.2845868,0.282872685763889,0.0189319256410914,0.722482638888889,0.151164486897396,0.19670887329633,0.0966151388888891,0.277517361111111,0.782400833333333,0.855794722222222,0.692058152108615,15,"none",5
5,5.91955865287034,0.267992083333333,0.2740196,0.272796425,0.0176114539135425,0.732007916666667,0.179358193442673,0.224688458602882,0.103340138888889,0.267992083333333,0.798907777777778,0.871788333333333,0.683052721993558,14,"none",5
6,6.8238340526269,0.257312152777778,0.2629732,0.261854601041667,0.017347215767143,0.742687847222222,0.203763607803196,0.262682562432955,0.113364513888889,0.257312152777778,0.822835,0.889269722222222,0.673230350907295,13,"none",5
7,7.4971002262146,0.249938194444444,0.25586,0.254867086458333,0.0193390683841584,0.750061805555556,0.225138743511151,0.291073183623021,0.123266527777778,0.249938194444445,0.850950833333333,0.895705833333333,0.666611732922009,15,"none",5
8,8.06034787786637,0.241218263888889,0.2456636,0.244779628819444,0.0145492700831836,0.758781736111111,0.25222275354542,0.320203652723641,0.131710347222222,0.241218263888889,0.870827222222222,0.910156944444444,0.658951021360355,12,"none",5
9,8.56899467686467,0.235745,0.239284,0.23850013125,0.0115519066407223,0.764255,0.269647883193855,0.337763460784623,0.136455555555556,0.235745,0.880067777777778,0.921353333333333,0.654231899038933,13,"none",5
10,9.1159790560634,0.227158958333333,0.2320964,0.231467422222222,0.0186136945213505,0.772841041666667,0.298447156162826,0.365763840227266,0.143741319444444,0.227158958333333,0.895635277777778,0.937529444444444,0.646963570829167,14,"none",5
11,9.57705333194693,0.220013055555556,0.2248356,0.224202345486111,0.0186853082266935,0.779986944444444,0.321001302385383,0.387871784158184,0.151979444444444,0.220013055555556,0.916719722222222,0.947213055555556,0.641036370623013,15,"none",5
12,9.92063574820577,0.214002013888889,0.2184768,0.217887392708333,0.0178320497168255,0.785997986111111,0.337994760816108,0.410273461664325,0.158147430555555,0.214002013888889,0.9336975,0.954593333333333,0.636133945423772,15,"none",5
13,10.2293566506676,0.207898819444444,0.2123868,0.211925759375,0.019001653892531,0.792101180555556,0.356460510201595,0.427470897197827,0.160704791666667,0.207898819444445,0.947411944444444,0.9582,0.631232489325815,20,"none",5
14,10.4721232615196,0.205063333333333,0.2092676,0.209043638194444,0.0190405452923123,0.794936666666667,0.365321610603237,0.436091709956688,0.164576111111111,0.205063333333333,0.956411111111111,0.962614444444444,0.628980925105145,13,"none",5
15,10.7029087463665,0.200935625,0.2047324,0.204411896875,0.0170062111263799,0.799064375,0.377819630814619,0.45146694914421,0.168940208333333,0.200935625,0.968917777777778,0.967091388888889,0.625731812909317,16,"none",5
0,1.30650220697609,0.319525277777778,0.3280928,0.325827530902778,0.0193422977718864,0.680474722222222,0.0315963741219243,0.024333529042911,0.0419213888888889,0.319525277777778,0.720958888888889,0.723833333333333,0.734781151557185,6,"6",1
1,2.37631940219604,0.307842708333333,0.3140612,0.312063798611111,0.0135263695967438,0.692157291666667,0.0697234534962642,0.0657469206767179,0.0566086805555555,0.307842708333333,0.750222777777778,0.747309166666667,0.722379155749461,6,"6",1
2,3.23802927736465,0.299278541666667,0.303426,0.301586732986111,0.00765349090986283,0.700721458333333,0.0946757026475649,0.0920316476169963,0.0661295138888889,0.299278541666667,0.764284722222222,0.769417222222222,0.713550290281177,6,"6",1
3,3.96279574202353,0.287257361111111,0.2943172,0.292560130208333,0.0181253990194976,0.712742638888889,0.132070664979824,0.12773348611218,0.0772526388888889,0.287257361111111,0.7833425,0.796648055555556,0.701515487805615,6,"6",1
4,5.17317503363826,0.275625833333333,0.2807504,0.279224278472222,0.0128872931772902,0.724374166666667,0.164042173414852,0.167446941984066,0.08729,0.275625833333333,0.806852777777778,0.816475555555556,0.690251009779706,6,"6",1
5,6.08742433015289,0.266576666666667,0.271636,0.270116847916667,0.013106110475168,0.733423333333333,0.195130755892735,0.201559816276239,0.0986744444444443,0.266576666666666,0.83503,0.829165555555556,0.681734514400505,6,"6",1
6,6.95721677891651,0.260004097222222,0.2638284,0.262486459027778,0.00945710424358657,0.739995902777778,0.22287286990396,0.224807960203469,0.109522569444444,0.260004097222222,0.848208888888889,0.850828055555556,0.675679416768542,6,"6",1
7,7.64947376613196,0.253398611111111,0.2584184,0.257370459027778,0.015432415715737,0.746601388888889,0.24058606631412,0.248873431458212,0.114956666666667,0.253398611111111,0.855285,0.867831111111111,0.669701406186925,6,"6",1
8,8.2261324292123,0.246544027777778,0.2518548,0.250813269444444,0.017021594097167,0.753455972222222,0.257768571952011,0.276109033603582,0.123600138888889,0.246544027777778,0.870622222222222,0.88349,0.663608781977418,6,"6",1
9,8.73850564270614,0.238715833333333,0.24284,0.242080156944444,0.0138975604344275,0.761284166666667,0.284718572419936,0.301553596842241,0.130178888888889,0.238715833333333,0.889107777777778,0.893818333333333,0.65678497188413,6,"6",1
