"cycle","index","GD","GD_pool","gd_ref","alpha","theta","F_hom","F_drift","GD_BS","GD_T","theta_A","theta_B","Ns","max_line","budget","seed"
2,4.00704280510979,0.264089583333333,0.2857152,0.284113944791667,0.0704800374125131,0.735910416666667,0.209336987516306,0.211803035813297,0.095920138888889,0.264089583333333,0.853934166666667,0.809726944444444,0.679430523982482,25,"unconstrained",4
3,4.76940601187866,0.230420486111111,0.2640164,0.262401830902778,0.121879274552456,0.769579513888889,0.310447834350185,0.313092255199493,0.130285069444444,0.230420486111111,0.908428888888889,0.891300277777778,0.649705444306031,11,"unconstrained",4
4,5.49483653451546,0.224825,0.2259148,0.225084291666667,0.00115197584312368,0.775175,0.331039867548251,0.329700196658925,0.136223888888889,0.224825,0.920784444444444,0.902013333333333,0.64501564162931,19,"unconstrained",4
5,6.17555903273374,0.2155625,0.225012,0.224436245833333,0.039537935596744,0.7844375,0.361663641512823,0.360249966993996,0.142563333333333,0.2155625,0.945516111111111,0.908485555555556,0.637399410405545,24,"unconstrained",4
6,6.74145855873571,0.208035,0.2148244,0.214326579166667,0.0293551046777739,0.791965,0.387677901551969,0.383609117373714,0.151711666666667,0.208035,0.957418055555555,0.929935277777778,0.631341031484977,17,"unconstrained",4
7,7.28441126972779,0.203936875,0.2076972,0.207254039930556,0.0160053089033488,0.796063125,0.402517955295207,0.394325095663843,0.156166180555556,0.203936875,0.963008888888889,0.941449722222222,0.62809089417375,17,"unconstrained",4
8,7.64712260264147,0.196797361111111,0.2029548,0.202636306944444,0.0288149045024501,0.803202638888889,0.424814977738063,0.411448149574366,0.158507083333333,0.196797361111111,0.970727222222222,0.952692222222222,0.62250791492876,12,"unconstrained",4
9,8.00479651672298,0.190634930555556,0.1960476,0.195729611805556,0.0260291797597861,0.809365069444444,0.443435416554561,0.425270454737855,0.162135347222222,0.190634930555556,0.977908888888889,0.965091944444444,0.617768197413319,16,"unconstrained",4
10,8.2871211494812,0.18765,0.1907584,0.190508163194444,0.0150028384428191,0.81235,0.453074790579389,0.432678751496561,0.161950555555555,0.18765,0.981648333333333,0.966952777777778,0.615498245829999,15,"unconstrained",4
11,8.59959636702274,0.185428402777778,0.1869392,0.186753820833333,0.0070971402332826,0.814571597222222,0.461286176128405,0.436998359520411,0.163598541666667,0.185428402777778,0.987294444444445,0.969045833333333,0.613819585294963,15,"unconstrained",4
12,8.83914793316247,0.182853263888889,0.1853664,0.185233903472222,0.0128520726427943,0.817146736111111,0.46721340105247,0.447370863031323,0.165602291666667,0.182853263888889,0.989935833333334,0.975562222222222,0.611885207275689,20,"unconstrained",4
13,9.03196218025577,0.180030833333333,0.1823484,0.182204113888889,0.0119277249518134,0.819969166666667,0.474927914794085,0.458170326955132,0.169019722222222,0.180030833333333,0.990359444444445,0.987618333333333,0.609779026243873,23,"unconstrained",4
14,9.09869031202031,0.178197916666667,0.1796164,0.179535484375,0.00745015790605253,0.821802083333333,0.480618397029148,0.463568881205879,0.17111875,0.178197916666667,0.991466666666667,0.994375,0.608418997883209,15,"unconstrained",4
15,9.10313439185068,0.177498402777778,0.1781148,0.178063999305556,0.00317636653104296,0.822501597222222,0.481823221147558,0.466653801750539,0.172509930555556,0.177498402777778,0.992036944444445,0.997986111111111,0.607901555071279,25,"unconstrained",4
0,1.80328251731201,0.315502708333333,0.3317328,0.32946658125,0.0423832756077643,0.684497291666667,0.0463093460583708,0.0521997148610334,0.049720625,0.315502708333333,0.713349444444445,0.755086388888889,0.730463080113234,22,"unconstrained",5
1,3.12131910553407,0.271649305555556,0.31284,0.310916001041667,0.126293582043238,0.728350694444444,0.180312592336887,0.195113343372449,0.0936787499999999,0.271649305555556,0.781123611111111,0.862935277777778,0.686482492312826,13,"unconstrained",5
2,4.01116650744374,0.248637222222222,0.2630712,0.261568099305556,0.0494359867188084,0.751362777777778,0.242639124505668,0.266610910223562,0.116289722222222,0.248637222222222,0.857265555555556,0.878039444444444,0.665457505732177,20,"unconstrained",5
3,4.7789871459393,0.239567916666667,0.2463044,0.245358311458333,0.0235997499218607,0.760432083333333,0.278005475633885,0.287431478192637,0.125955972222222,0.239567916666667,0.886588333333333,0.886187777777778,0.657520916014305,22,"unconstrained",5
4,5.37491313823823,0.226424097222222,0.2412632,0.240384361458333,0.0580747605685276,0.773575902777778,0.319021672732691,0.324240802115028,0.139303402777778,0.226424097222222,0.9133,0.912458611111111,0.646348985541802,11,"unconstrained",5
5,5.90701300207057,0.219674583333333,0.2263308,0.225688106944444,0.0266452835841784,0.780325416666667,0.341423484143407,0.34628409811848,0.147364027777778,0.219674583333333,0.934442222222222,0.920936666666667,0.640758316108504,18,"unconstrained",5
6,6.40228853269896,0.208889583333333,0.2185524,0.217990113888889,0.0417474462176491,0.791110416666667,0.370230015168592,0.39012142318796,0.160637083333333,0.208889583333333,0.944661388888889,0.958833611111111,0.632023026705606,20,"unconstrained",5
7,6.75347808738671,0.203146111111111,0.2087572,0.208290125347222,0.0246963903235256,0.796853888888889,0.386703063587937,0.408121048821051,0.165398611111111,0.203146111111111,0.951505555555555,0.972999444444444,0.627467603499038,12,"unconstrained",5
8,7.12861462400553,0.201203541666667,0.2021208,0.201860143055556,0.00325275400557004,0.798796458333333,0.394003151691781,0.413086135876263,0.167475625,0.201203541666667,0.959890555555556,0.972653611111111,0.625941683621427,19,"unconstrained",5
9,7.37009849478033,0.197556597222222,0.2013276,0.201084495486111,0.0175443574372077,0.802443402777778,0.407536281503603,0.424766905461113,0.170640625,0.197556597222222,0.971892222222222,0.974275833333333,0.62309690411707,20,"unconstrained",5
10,7.58842381605139,0.193357777777778,0.1972264,0.197011549652778,0.0185459780476811,0.806642222222222,0.419701331404713,0.434796902161665,0.173656666666667,0.193357777777778,0.980911666666667,0.979686111111111,0.619853494183019,13,"unconstrained",5
11,7.72597803878456,0.191341041666667,0.1928368,0.192703310069444,0.00706925274032326,0.808658958333333,0.425358165097636,0.441746008375944,0.175539791666667,0.191341041666667,0.983981111111111,0.984416388888889,0.61830762504692,20,"unconstrained",5
