"set","sigma_DH","MRD","n_seg"
"within-pool (A x A)",4.34243331643375,0.561916363883452,1263
"within-pool (A x A)",4.35045398532196,0.560133912560202,1255
"within-pool (A x A)",4.7997806513534,0.577711000414567,1335
"within-pool (A x A)",4.45032561137568,0.555202665699652,1233
"within-pool (A x A)",4.85827309161062,0.571620503481112,1307
"within-pool (A x A)",4.14909449149948,0.557449549286749,1243
"within-pool (A x A)",4.26213853167645,0.565243310442503,1278
"within-pool (A x A)",4.70979632596828,0.551815186452856,1218
"within-pool (A x A)",4.81103197653377,0.569649014745044,1298
"within-pool (A x A)",4.51886935303562,0.559687412758229,1253
"within-pool (A x A)",4.911250731504,0.563471383479232,1270
"within-pool (A x A)",4.34945583651794,0.569649014745044,1298
"within-pool (A x A)",4.74207217863765,0.558121850495033,1246
"within-pool (A x A)",5.1081988528336,0.565685424949238,1280
"within-pool (A x A)",4.2374439888928,0.561471281545192,1261
"within-pool (A x A)",4.27101024546939,0.565685424949238,1280
"within-pool (A x A)",4.49219900675464,0.565243310442503,1278
"within-pool (A x A)",4.36137323194825,0.557897840110535,1245
"within-pool (A x A)",5.30836727493404,0.565243310442503,1278
"within-pool (A x A)",4.59990204441665,0.554526825320471,1230
"within-pool (A x A)",4.40730156034677,0.565906352676837,1281
"within-pool (A x A)",4.50782888452274,0.554977477020465,1232
"within-pool (A x A)",4.36490643936253,0.557000897665345,1241
"within-pool (A x A)",4.94088150074025,0.568990333837052,1295
"within-pool (A x A)",4.45956632912668,0.562805472610208,1267
"within-pool (A x A)",4.55638994488338,0.559240556469218,1251
"within-pool (A x A)",4.78772668769141,0.554301362076624,1229
"within-pool (A x A)",5.05217369990366,0.554301362076624,1229
"within-pool (A x A)",4.18833246193598,0.563249500665558,1269
"within-pool (A x A)",4.20261872021603,0.553172667437573,1224
"within-pool (A x A)",5.04687458323232,0.576411311478184,1329
"within-pool (A x A)",4.66231676306024,0.573803102117791,1317
"within-pool (A x A)",4.94403193077875,0.567890834580027,1290
"within-pool (A x A)",4.92093977246902,0.563693178954651,1271
"within-pool (A x A)",4.93413462953134,0.568550789287993,1293
"within-pool (A x A)",5.20352764222607,0.567230112035671,1287
"within-pool (A x A)",4.41966455842,0.574456264653803,1320
"within-pool (A x A)",4.4755287221485,0.571839138219832,1308
"within-pool (A x A)",4.4221671263448,0.561248608016091,1260
"within-pool (A x A)",4.32414069619062,0.561471281545192,1261
"within-pool (A x A)",3.91716764615591,0.554075807087803,1228
