"set","sigma_DH","MRD","n_seg"
"inter-pool (A x B)",5.11331379341721,0.613188388670236,1504
"inter-pool (A x B)",5.73188364084176,0.610532554414587,1491
"inter-pool (A x B)",4.65252190626116,0.603738353924943,1458
"inter-pool (A x B)",5.04446528342785,0.611964051231769,1498
"inter-pool (A x B)",5.07130015408088,0.606630035524124,1472
"inter-pool (A x B)",5.46369844248061,0.609918027279076,1488
"inter-pool (A x B)",5.15827780657918,0.606423944118304,1471
"inter-pool (A x B)",4.75670692069122,0.606836056937951,1473
"inter-pool (A x B)",4.49571576456044,0.615426681254558,1515
"inter-pool (A x B)",4.74776128107793,0.6200806399171,1538
"inter-pool (A x B)",4.84645998427373,0.603116904090741,1455
"inter-pool (A x B)",4.67173109579258,0.604979338490167,1464
"inter-pool (A x B)",5.40751215816682,0.609507998306831,1486
"inter-pool (A x B)",4.60093048878561,0.606630035524124,1472
"inter-pool (A x B)",4.69338315445907,0.608276253029822,1480
"inter-pool (A x B)",4.73962288281632,0.604359164735672,1461
"inter-pool (A x B)",4.92408431756522,0.610941895764237,1493
"inter-pool (A x B)",4.91242235767651,0.604359164735673,1461
"inter-pool (A x B)",4.71049779396927,0.607659444096774,1477
"inter-pool (A x B)",4.76267942875981,0.613595958265698,1506
"inter-pool (A x B)",4.57252886341557,0.612372435695794,1500
"inter-pool (A x B)",5.15827780657918,0.606423944118304,1471
"inter-pool (A x B)",4.92743631396858,0.609918027279076,1488
"inter-pool (A x B)",5.21840646786377,0.610532554414586,1491
"inter-pool (A x B)",4.9861793771187,0.60062467481781,1443
"inter-pool (A x B)",5.07505650144829,0.602702248212166,1453
"inter-pool (A x B)",4.93983684254292,0.616846820531645,1522
"inter-pool (A x B)",4.95242643674855,0.610737259384099,1492
"inter-pool (A x B)",5.04312073919922,0.606217782649107,1470
"inter-pool (A x B)",5.61176093317099,0.628490254498827,1580
"inter-pool (A x B)",4.60231401544851,0.602909611799315,1454
"inter-pool (A x B)",5.19506648730217,0.605805249234438,1468
"inter-pool (A x B)",5.46183452503344,0.606836056937951,1473
"inter-pool (A x B)",4.82249738232735,0.613188388670236,1504
"inter-pool (A x B)",4.95364053508166,0.60518592184551,1465
"inter-pool (A x B)",4.99695306283896,0.604565960007674,1462
"inter-pool (A x B)",5.29766237746832,0.612984502251076,1503
"inter-pool (A x B)",5.07042648999267,0.610122938431264,1489
"inter-pool (A x B)",5.38044386747146,0.609507998306831,1486
"inter-pool (A x B)",4.85170065543733,0.616238590158065,1519
"inter-pool (A x B)",5.52535209544285,0.59916608715781,1436
"inter-pool (A x B)",5.08366345416319,0.621490144732803,1545
"inter-pool (A x B)",4.88257820834053,0.606217782649107,1470
"inter-pool (A x B)",4.40706602199759,0.605598877145591,1467
"inter-pool (A x B)",4.92408431756522,0.610941895764237,1493
"inter-pool (A x B)",5.24400304615847,0.608892437134836,1483
"inter-pool (A x B)",5.33100915387035,0.603324125159934,1456
"inter-pool (A x B)",4.62251293473195,0.606630035524124,1472
"inter-pool (A x B)",5.25707746679313,0.616238590158065,1519
"inter-pool (A x B)",4.95425058246344,0.615223536610881,1514
"inter-pool (A x B)",4.90764430958521,0.607659444096774,1477
"inter-pool (A x B)",4.77542214696476,0.608276253029822,1480
"inter-pool (A x B)",5.06129135431023,0.609918027279076,1488
"inter-pool (A x B)",4.92882788406135,0.621087755474216,1543
"inter-pool (A x B)",4.75870616435754,0.61196405123177,1498
"inter-pool (A x B)",5.4481427936554,0.615629758864855,1516
"inter-pool (A x B)",5.67381291353821,0.609097693313642,1484
"inter-pool (A x B)",4.65178790828867,0.616035713250457,1518
"inter-pool (A x B)",4.96084513672821,0.605392434706612,1466
"inter-pool (A x B)",5.00481600440382,0.611146463623901,1494
"inter-pool (A x B)",5.09557372403929,0.604979338490167,1464
"inter-pool (A x B)",5.23824130324401,0.615020324867398,1513
"inter-pool (A x B)",4.72514424764962,0.604979338490167,1464
"inter-pool (A x B)",5.1070705876877,0.613188388670235,1504
"inter-pool (A x B)",4.92743631396858,0.609918027279076,1488
"inter-pool (A x B)",5.29483362682783,0.613392207319265,1505
"inter-pool (A x B)",5.35414341134423,0.609507998306831,1486
"inter-pool (A x B)",4.59473023099652,0.608070719571334,1479
"inter-pool (A x B)",5.41292685930735,0.601248700622297,1446
"inter-pool (A x B)",4.79681399444704,0.590762219509677,1396
"inter-pool (A x B)",5.28308541643979,0.607247890074556,1475
"inter-pool (A x B)",4.73962288281632,0.604359164735672,1461
"inter-pool (A x B)",5.25484615669215,0.605392434706613,1466
"inter-pool (A x B)",5.12167834172195,0.608276253029822,1480
"inter-pool (A x B)",5.29270506808895,0.609302880347697,1485
"inter-pool (A x B)",4.74013371880773,0.614817045957576,1512
"inter-pool (A x B)",4.80571356296375,0.610737259384099,1492
