"strategy","theta","gene_diversity","loss_pct","status_number","Ne_parents","n_lines_used","He_Nei","alleles_retained","alleles_lost_MAF","alleles_fixed","E_NE","A_NE","eff_dim","theta_within_A","theta_within_B","theta_between","mean_index"
"random",0.667967731481482,0.332032268518518,0.209077629326533,0.748539153068147,45,58,0.332032268518519,11809,104,191,0.262022222222222,0.262052760416667,1.49169483562322,0.702477222222222,0.702044259259259,0.633674722222222,0.0104990342547573
"random",0.666884513888889,0.333115486111111,-0.116478929303419,0.749755001933223,51.063829787234,64,0.333115486111111,11837,100,163,0.262404166666667,0.259505416666667,1.49627187338155,0.701226481481481,0.699716388888889,0.633297592592593,0.0922942697478231
"random",0.66720900462963,0.33279099537037,-0.0189545818544183,0.749390365733376,48.9795918367347,66,0.33279099537037,11832,104,168,0.263901388888889,0.258424791666667,1.49661307484536,0.700507407407407,0.701561759259259,0.633383425925926,0.0515975424610963
"random",0.667897268518518,0.332102731481482,0.187900277804485,0.74861812372592,48.6486486486486,61,0.332102731481481,11825,125,175,0.263279166666667,0.261040625,1.49186536186888,0.70209787037037,0.701723981481481,0.633883611111111,-0.0570254679015198
"random",0.667545,0.332455,0.0820274343548304,0.749013175141751,49.3150684931507,64,0.332455,11825,85,175,0.264347222222222,0.259569635416667,1.4952351271988,0.699798055555556,0.702672314814815,0.633854814814815,0.257702973394954
"random",0.667594884259259,0.332405115740741,0.0970199417561954,0.748957207116383,46.1538461538462,60,0.332405115740741,11817,113,183,0.262115277777778,0.261351458333333,1.49418099980163,0.701834814814815,0.702003425925926,0.633270648148148,0.213011134850734
"random",0.667225462962963,0.332774537037037,-0.0140080979739739,0.749371880652814,45,59,0.332774537037037,11817,128,183,0.261138888888889,0.261823177083333,1.4953328590425,0.701690740740741,0.701530740740741,0.632840185185185,-0.0906541188697321
"random",0.668266597222222,0.331733402777778,0.298900489214718,0.748204387408177,48.6486486486486,60,0.331733402777778,11818,90,182,0.263426388888889,0.260772239583333,1.4931083683456,0.701952314814815,0.702119074074074,0.6344975,0.0756578695925615
"random",0.668694490740741,0.331305509259259,0.427502113026531,0.747725615992632,47.0588235294118,60,0.331305509259259,11825,132,175,0.258631944444444,0.260556614583333,1.49153611982171,0.704610092592593,0.700659351851852,0.634754259259259,0.199071481075344
"random",0.668285486111111,0.331714513888889,0.304577466495176,0.748183239635506,48,61,0.331714513888889,11813,110,187,0.261275,0.260268541666667,1.49304796056553,0.701455925925926,0.702711574074074,0.634487222222222,-0.0223280618666926
